year,I полугодие,II полугодие
1924,Kid+Ht,St+Co
1925,Lu+Sp,Si+Bl
1926,Gb+Th,Hg+Liv
1927,St+Co,Kid+Ht
1928,Si+Bl,Lu+Sp
1929,Hg+Liv,Gb+Th
1930,Kid+Ht,St+Co
1931,Lu+Sp,Si+Bl
1932,Gb+Th,Hg+Liv
1933,St+Co,Kid+Ht
1934,Si+Bl,Lu+Sp
1935,Hg+Liv,Gb+Th
1936,Kid+Ht,St+Co
1937,Lu+Sp,Si+Bl
1938,Gb+Th,Hg+Liv
1939,St+Co,Kid+Ht
1940,Si+Bl,Lu+Sp
1941,Hg+Liv,Gb+Th
1942,Kid+Ht,St+Co
1943,Lu+Sp,Si+Bl
1944,Gb+Th,Hg+Liv
1945,St+Co,Kid+Ht
1946,Si+Bl,Lu+Sp
1947,Hg+Liv,Gb+Th
1948,Kid+Ht,St+Co
1949,Lu+Sp,Si+Bl
1950,Gb+Th,Hg+Liv
1951,St+Co,Kid+Ht
1952,Si+Bl,Lu+Sp
1953,Hg+Liv,Gb+Th
1954,Kid+Ht,St+Co
1955,Lu+Sp,Si+Bl
1956,Gb+Th,Hg+Liv
1957,St+Co,Kid+Ht
1958,Si+Bl,Lu+Sp
1959,Hg+Liv,Gb+Th
1960,Kid+Ht,St+Co
1961,Lu+Sp,Si+Bl
1962,Gb+Th,Hg+Liv
1963,St+Co,Kid+Ht
1964,Si+Bl,Lu+Sp
1965,Hg+Liv,Gb+Th
1966,Kid+Ht,St+Co
1967,Lu+Sp,Si+Bl
1968,Gb+Th,Hg+Liv
1969,St+Co,Kid+Ht
1970,Si+Bl,Lu+Sp
1971,Hg+Liv,Gb+Th
1972,Kid+Ht,St+Co
1973,Lu+Sp,Si+Bl
1974,Gb+Th,Hg+Liv
1975,St+Co,Kid+Ht
1976,Si+Bl,Lu+Sp
1977,Hg+Liv,Gb+Th
1978,Kid+Ht,St+Co
1979,Lu+Sp,Si+Bl
1980,Gb+Th,Hg+Liv
1981,St+Co,Kid+Ht
1982,Si+Bl,Lu+Sp
1983,Hg+Liv,Gb+Th
1984,Kid+Ht,St+Co
1985,Lu+Sp,Si+Bl
1986,Gb+Th,Hg+Liv
1987,St+Co,Kid+Ht
1988,Si+Bl,Lu+Sp
1989,Hg+Liv,Gb+Th
1990,Kid+Ht,St+Co
1991,Lu+Sp,Si+Bl
1992,Gb+Th,Hg+Liv
1993,St+Co,Kid+Ht
1994,Si+Bl,Lu+Sp
1995,Hg+Liv,Gb+Th
1996,Kid+Ht,St+Co
1997,Lu+Sp,Si+Bl
1998,Gb+Th,Hg+Liv
1999,St+Co,Kid+Ht
2000,Si+Bl,Lu+Sp
2001,Hg+Liv,Gb+Th
2002,Kid+Ht,St+Co
2003,Lu+Sp,Si+Bl
2004,Gb+Th,Hg+Liv
2005,St+Co,Kid+Ht
2006,Si+Bl,Lu+Sp
2007,Hg+Liv,Gb+Th
2008,Kid+Ht,St+Co
2009,Lu+Sp,Si+Bl
2010,Gb+Th,Hg+Liv
2011,St+Co,Kid+Ht
2012,Si+Bl,Lu+Sp
2013,Hg+Liv,Gb+Th
2014,Kid+Ht,St+Co
2015,Lu+Sp,Si+Bl
2016,Gb+Th,Hg+Liv
2017,St+Co,Kid+Ht
2018,Si+Bl,Lu+Sp
2019,Hg+Liv,Gb+Th
2020,Kid+Ht,St+Co
2021,Lu+Sp,Si+Bl
2022,Gb+Th,Hg+Liv
2023,St+Co,Kid+Ht
2024,Si+Bl,Lu+Sp
2025,Hg+Liv,Gb+Th
2026,Kid+Ht,St+Co
2027,Lu+Sp,Si+Bl
2028,Gb+Th,Hg+Liv
2029,St+Co,Kid+Ht
2030,Si+Bl,Lu+Sp
2031,Hg+Liv,Gb+Th
2032,Kid+Ht,St+Co
2033,Lu+Sp,Si+Bl
2034,Gb+Th,Hg+Liv
2035,St+Co,Kid+Ht
2036,Si+Bl,Lu+Sp
2037,Hg+Liv,Gb+Th
2038,Kid+Ht,St+Co
2039,Lu+Sp,Si+Bl
2040,Gb+Th,Hg+Liv
2041,St+Co,Kid+Ht
2042,Si+Bl,Lu+Sp
